"REF_DATE","GEO","DGUID","Components","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-01","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","505","","","","0"
"2013-02","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","539","","","","0"
"2013-03","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","584","","","","0"
"2013-04","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","714","","","","0"
"2013-05","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","845","","","","0"
"2013-06","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","885","","","","0"
"2013-07","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1264","","","","0"
"2013-08","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1518","","","","0"
"2013-09","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1582","","","","0"
"2013-10","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1861","","","","0"
"2013-11","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1902","","","","0"
"2013-12","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1619","","","","0"
"2014-01","Canada","2016A000011124","Variable rate, funds advanced, residential mortgages, insured","Dollars","Dollars","81","millions","6","v122667725","1.2.1","1527","","","","0"
